asx_code,name,market_cap_aud,index_membership,asrs_group
360,Life360 Inc,4300000000.0,ASX 101-200,Group 1
AGL,AGL Energy Ltd,5700000000.0,ASX 100,Group 1
ALQ,Als Ltd,12000000000.0,ASX 100,Group 1
AMC,Amcor Plc,7800000000.0,ASX 100,Group 1
ALD,Ampol Ltd,8700000000.0,ASX 100,Group 1
ANZ,ANZ Group Holdings Ltd,103000000000.0,ASX 100,Group 1
APA,APA Group,14000000000.0,ASX 100,Group 1
ARG,Argo Investments Ltd,6500000000.0,ASX 100,Group 1
ALL,Aristocrat Leisure Ltd,31000000000.0,ASX 100,Group 1
ASX,ASX Ltd,9400000000.0,ASX 100,Group 1
ALX,Atlas Arteria,7400000000.0,ASX 100,Group 1
AIA,Auckland International Airport Ltd,12000000000.0,ASX 100,Group 1
AZJ,Aurizon Holdings Ltd,7300000000.0,ASX 100,Group 1
AFI,Australian Foundation Investment Company Ltd,7900000000.0,ASX 100,Group 1
BEN,Bendigo and Adelaide Bank Ltd,7000000000.0,ASX 100,Group 1
BHP,BHP Group Ltd,216000000000.0,ASX 100,Group 1
BSL,Bluescope Steel Ltd,14540000000.0,ASX 100,Group 1
BXB,Brambles Ltd,29000000000.0,ASX 100,Group 1
CMM,Capricorn Metals Ltd,5580000000.0,ASX 100,Group 1
CAR,CAR Group Ltd,14000000000.0,ASX 100,Group 1
CGF,Challenger Ltd,5200000000.0,ASX 100,Group 1
CHC,Charter Hall Group,7700000000.0,ASX 100,Group 1
CWY,Cleanaway Waste Management Ltd,5600000000.0,ASX 100,Group 1
COH,Cochlear Ltd,18000000000.0,ASX 100,Group 1
CDA,Codan Ltd,,ASX 100,Group 1
COL,Coles Group Ltd,23000000000.0,ASX 100,Group 1
CBA,Commonwealth Bank of Australia,280000000000.0,ASX 100,Group 1
CPU,Computershare Ltd,20000000000.0,ASX 100,Group 1
CSL,CSL Ltd,48000000000.0,ASX 100,Group 1
DXS,Dexus,6000000000.0,ASX 100,Group 1
DNL,Dyno Nobel Ltd,,ASX 100,Group 1
APE,Eagers Automotive Ltd,6100000000.0,ASX 100,Group 1
EDV,Endeavour Group Ltd,5330000000.0,ASX 100,Group 1
EVN,Evolution Mining Ltd,15000000000.0,ASX 100,Group 1
FPH,Fisher & Paykel Healthcare Corporation Ltd,28000000000.0,ASX 100,Group 1
FMG,Fortescue Ltd,67000000000.0,ASX 100,Group 1
GMD,Genesis Minerals Ltd,5950000000.0,ASX 100,Group 1
GMG,Goodman Group,62000000000.0,ASX 100,Group 1
GPT,GPT Group,9300000000.0,ASX 100,Group 1
GGP,Greatland Resources Ltd,,ASX 100,Group 1
HVN,Harvey Norman Holdings Ltd,5680000000.0,ASX 100,Group 1
HUB,HUB24 Ltd,5200000000.0,ASX 100,Group 1
IGO,IGO Ltd,,ASX 100,Group 1
IFT,Infratil Ltd,12470000000.0,ASX 100,Group 1
IAG,Insurance Australia Group Ltd,18000000000.0,ASX 100,Group 1
JHX,James Hardie Industries Plc,20000000000.0,ASX 100,Group 1
JBH,JB Hi-Fi Ltd,9100000000.0,ASX 100,Group 1
LNW,Light & Wonder Inc,11000000000.0,ASX 100,Group 1
LTR,Liontown Ltd,,ASX 100,Group 1
LYC,Lynas Rare Earths Ltd,8700000000.0,ASX 100,Group 1
MQG,Macquarie Group Ltd,91000000000.0,ASX 100,Group 1
MPL,Medibank Private Ltd,13000000000.0,ASX 100,Group 1
MCY,Mercury NZ Ltd,8000000000.0,ASX 100,Group 1
MEZ,Meridian Energy Ltd,6200000000.0,ASX 100,Group 1
MIN,Mineral Resources Ltd,13000000000.0,ASX 100,Group 1
MGR,Mirvac Group,6600000000.0,ASX 100,Group 1
NAB,National Australia Bank Ltd,110000000000.0,ASX 100,Group 1
NWL,Netwealth Group Ltd,6600000000.0,ASX 100,Group 1
NEM,Newmont Corporation,82000000000.0,ASX 100,Group 1
NXT,NEXTDC Ltd,9600000000.0,ASX 100,Group 1
NST,Northern Star Resources Ltd,25000000000.0,ASX 100,Group 1
ORI,Orica Ltd,9900000000.0,ASX 100,Group 1
ORG,Origin Energy Ltd,19000000000.0,ASX 100,Group 1
PRU,Perseus Mining Ltd,,ASX 100,Group 1
PLS,PLS Group Ltd,7800000000.0,ASX 100,Group 1
PME,Pro Medicus Ltd,17320000000.0,ASX 100,Group 1
QAN,Qantas Airways Ltd,14000000000.0,ASX 100,Group 1
QBE,QBE Insurance Group Ltd,24000000000.0,ASX 100,Group 1
QUB,QUBE Holdings Ltd,10000000000.0,ASX 100,Group 1
RMS,Ramelius Resources Ltd,5560000000.0,ASX 100,Group 1
RHC,Ramsay Health Care Ltd,11000000000.0,ASX 100,Group 1
REA,REA Group Ltd,29000000000.0,ASX 100,Group 1
RIO,Rio Tinto Ltd,166000000000.0,ASX 100,Group 1
RMD,ResMed Inc,35000000000.0,ASX 100,Group 1
STO,Santos Ltd,19000000000.0,ASX 100,Group 1
SCG,Scentre Group,16000000000.0,ASX 100,Group 1
SGH,SGH Ltd,16930000000.0,ASX 100,Group 1
SIG,Sigma Healthcare Ltd,33710000000.0,ASX 100,Group 1
SGM,Sims Ltd,5430000000.0,ASX 100,Group 1
SHL,Sonic Healthcare Ltd,14000000000.0,ASX 100,Group 1
S32,South32 Ltd,20320000000.0,ASX 100,Group 1
SGP,Stockland,11000000000.0,ASX 100,Group 1
SUN,Suncorp Group Ltd,21000000000.0,ASX 100,Group 1
TNE,Technology One Ltd,,ASX 100,Group 1
TLS,Telstra Group Ltd,41000000000.0,ASX 100,Group 1
TLC,The Lottery Corporation Ltd,10000000000.0,ASX 100,Group 1
TPG,TPG Telecom Ltd,5700000000.0,ASX 100,Group 1
TCL,Transurban Group,47210000000.0,ASX 100,Group 1
VCX,Vicinity Centres,8700000000.0,ASX 100,Group 1
SOL,Washington H. Soul Pattinson and Company Ltd,16430000000.0,ASX 100,Group 1
WES,Wesfarmers Ltd,82000000000.0,ASX 100,Group 1
WBC,Westpac Banking Corporation,110000000000.0,ASX 100,Group 1
WHC,Whitehaven Coal Ltd,5700000000.0,ASX 100,Group 1
WTC,Wisetech Global Ltd,37000000000.0,ASX 100,Group 1
WDS,Woodside Energy Group Ltd,37000000000.0,ASX 100,Group 1
WOW,Woolworths Group Ltd,42000000000.0,ASX 100,Group 1
WOR,Worley Ltd,,ASX 100,Group 1
XRO,Xero Ltd,28000000000.0,ASX 100,Group 1
YAL,Yancoal Australia Ltd,,ASX 100,Group 1
