Company Name,Symbol,Market
ABF Malaysia Bond Index Fund,0800EA,Main Market
Able Global Berhad,7167,Main Market
Ablegroup Berhad,7086,Main Market
ABM Fujiya Berhad,5198,Main Market
Acme Holdings Berhad,7131,Main Market
ACO Group Berhad,0218,ACE Market
Advance Information Marketing Berhad,0122,ACE Market
Advance Synergy Berhad,1481,Main Market
Advancecon Holdings Berhad,5281,Main Market
Adventa Berhad,7191,Main Market
AE Multi Holdings Berhad,7146,Main Market
Aemulus Holdings Berhad,0181,ACE Market
Aeon Co. (M) Bhd,6599,Main Market
Aeon Credit Service (M) Berhad,5139,Main Market
Affin Bank Berhad,5185,Main Market
Ageson Berhad,7145,Main Market
Agmo Holdings Berhad,0258,ACE Market
Agricore CS Holdings Berhad,0309,ACE Market
AGX Group Berhad,0299,ACE Market
AHB Holdings Berhad,7315,Main Market
Ahmad Zaki Resources Berhad,7078,Main Market
Aimflex Berhad,0209,ACE Market
Airasia X Berhad,5238,Main Market
Ajinomoto (Malaysia) Berhad,2658,Main Market
Ajiya Berhad,7609,Main Market
Alam Maritim Resources Berhad,5115,Main Market
Al-'aqar Healthcare REIT,5116,Main Market
Alcom Group Berhad,2674,Main Market
Aldrich Resources Berhad,0079,ACE Market
Alliance Bank Malaysia Berhad,2488,Main Market
Allianz Malaysia Berhad,1163,Main Market
Alpha IVF Group Berhad,0303,ACE Market
Alpha Ocean Resources Berhad,03051,LEAP Market
Al-salam Real Estate Investment Trust,5269,Main Market
Amanahraya Real Estate Investment Trust,5127,Main Market
AME Elite Consortium Berhad,5293,Main Market
AME Real Estate Investment Trust,5307,Main Market
Amfirst Real Estate Investment Trust,5120,Main Market
Amlex Holdings Berhad,03011,LEAP Market
AMMB Holdings Berhad,1015,Main Market
Amtel Holdings Berhad,7031,Main Market
Amway (Malaysia) Holdings Berhad,6351,Main Market
Analabs Resources Berhad,7083,Main Market
Ancom Logistics Berhad,0048,ACE Market
Ancom Nylex Berhad,4758,Main Market
Aneka Jaringan Holdings Berhad,0226,ACE Market
ANN JOO Resources Berhad,6556,Main Market
Annum Berhad,5082,Main Market
APB Resources Berhad,5568,Main Market
