asx_code,name,market_cap_aud,scope1_t,scope2_t,s12_t,revenue_aud,cost_paid_aud,cost_paid_pct_mcap,cost_paid_pct_rev,cost_ngfs_nz30_aud,cost_ngfs_nz30_pct_mcap,cost_ngfs_nz30_pct_rev,cost_epa_scc_aud,cost_epa_scc_pct_mcap,cost_epa_scc_pct_rev,cost_bilal_aud,cost_bilal_pct_mcap,cost_bilal_pct_rev,unpriced_gap_aud
BCB,Bowen Coking Coal Ltd,8080000.0,173658.0,749.0,174407.0,,5676947.850000001,70.25925556930693,,35143010.5,434.93824876237625,,51362861.5,635.6789789603961,,285469377.59999996,3533.036851485148,,45685913.65
AGL,AGL Energy Ltd,5700000000.0,30439497.0,247661.0,30687158.0,13500000000.0,998866992.9000001,17.52398233157895,7.399014762222223,6183462337.0,108.48179538596492,45.80342471851852,9037368031.0,158.55031633333334,66.9434668962963,50228740214.4,881.2059686736842,372.0647423288889,8038501038.1
AQZ,Alliance Aviation Services Ltd,82141032.0,224401.0,758.0,225159.0,,7328925.450000001,8.922368360309864,,45369538.5,55.2337088971563,,66309325.5,80.72618992661305,,368540251.2,448.66766611843883,,58980400.05
AAI,Alcoa Corporation,4000000000.0,5312947.0,3261567.0,8574514.0,,279100430.70000005,6.977510767500001,,1727764571.0,43.194114275,,2525194373.0,63.129859325,,14034764515.199999,350.86911288,,2246093942.3
GRR,Grange Resources Ltd,179390000.0,215966.0,36822.0,252788.0,,8228249.400000001,4.58679380121523,,50936782.0,28.394437817046658,,74446066.0,41.49956296337589,,413763398.4,230.6502025753944,,66217816.6
CTP,Central Petroleum Ltd,48930000.0,61533.0,103.0,61636.0,,2006251.8000000003,4.100248927038627,,12419654.0,25.382493357858166,,18151802.0,37.09749029225424,,100885804.8,206.18394604537093,,16145550.2
VGN,Virgin Australia Holdings Ltd,2080000000.0,2215462.0,7423.0,2222885.0,,72354906.75000001,3.4786012860576934,,447911327.5,21.5341984375,,654639632.5,31.47305925480769,,3638418168.0,174.92395038461538,,582284725.75
ORG,Origin Energy Ltd,19000000000.0,15797721.0,2251142.91,18048863.91,16500000000.0,587490520.2705001,3.092055369844737,3.5605486077000004,3636846077.8650002,19.141295146657896,22.041491381,5315390421.495,27.9757390605,32.214487403,29542380447.888,155.48621288362105,179.0447299872,4727899901.2245
LAU,Lindsay Australia Ltd,197780000.0,137912.0,8870.0,146782.0,,4777754.100000001,2.4156912225705334,,29576573.0,14.954278996865204,,43227299.0,21.856253918495298,,240252777.6,121.47475862068966,,38449544.9
BSL,Bluescope Steel Ltd,14540000000.0,6223931.05,786480.54,7010411.59,17500000000.0,228188897.25450003,1.5693871888204955,1.3039365557400002,1412597935.385,9.715254026031637,8.0719882022,2064566213.2549999,14.199217422661624,11.7975212186,11474641690.512,78.91775578068776,65.56938108864,1836377316.0004997
SMR,Stanmore Resources Ltd,2490000000.0,1027380.37,108419.21,1135799.58,,36970276.329,1.4847500533734943,,228863615.37,9.191309854216868,,334492976.31,13.433452863855422,,1859076752.5440001,74.66171696963856,,297522699.981
WHC,Whitehaven Coal Ltd,5700000000.0,1957746.0,271469.0,2229215.0,2900000000.0,72560948.25000001,1.2729990921052634,2.502101663793104,449186822.5,7.880470570175438,15.489200775862068,656503817.5,11.517610833333332,22.638062672413792,3648779112.0,64.01366863157895,125.81996937931035,583942869.25
FEX,FENIX Resources Ltd,210360000.0,70534.0,1242.0,71776.0,,2336308.8000000003,1.1106240730176842,,14462864.0,6.875291880585663,,21138032.0,10.048503517779045,,117482956.8,55.848524814603536,,18801723.2
QAN,Qantas Airways Ltd,14000000000.0,4622401.0,57564.0,4679965.0,21900000000.0,152332860.75000003,1.0880918625000002,0.6955838390410961,943012947.5,6.7358067678571425,4.305995194063927,1378249692.5,9.844640660714285,6.293377591324201,7660166712.0,54.71547651428571,34.97793019178082,1225916831.75
29M,29METALS Ltd,437520000.0,34841.0,100247.0,135088.0,,4397114.4,1.005008776741635,,27220232.0,6.221482903638691,,39783416.0,9.092936551471933,,221112038.4,50.53758420186506,,35386301.6
VEA,Viva Energy Group Ltd,5000000000.0,1083012.82,363729.83,1446742.6500000001,31500000000.0,47091473.25750001,0.9418294651500002,0.14949674050000003,291518643.975,5.8303728795000005,0.9254560126190478,426065710.425,8.5213142085,1.352589556904762,2368028369.52,47.3605673904,7.517550379428571,378974237.1675
AIS,Aeris Resources Ltd,460909981.0,46358.0,84582.0,130940.0,,4262097.000000001,0.924713539670559,,26384410.0,5.724417150341554,,38561830.0,8.36645583511458,,214322592.0,46.49988085200524,,34299733.0
AEL,Amplitude Energy Ltd,457320000.0,112315.0,2990.0,115305.0,,3753177.7500000005,0.8206896155864604,,23233957.5,5.080459525059039,,33957322.5,7.4252869981632115,,188731224.0,41.26896352663343,,30204144.75
BPT,Beach Energy Ltd,2450000000.0,543777.0,23284.0,567061.0,1700000000.0,18457835.55,0.7533810428571428,1.0857550323529412,114262791.5,4.663787408163265,6.7213406764705885,166999464.5,6.8163046734693875,9.823497911764706,928165444.8,37.88430386938776,54.59796734117647,148541628.95
