Facility name,Responsible emitter,ACCU methodology determination,ACCU method type,Quantity surrendered
APN01 Appin Colliery - ICH Facility,ENDEAVOUR COAL PTY LIMITED,Carbon Credits (Carbon Farming Initiative) (Native Forest from Managed Regrowth) Methodology Determination 2013,Vegetation,"1,316"
APN01 Appin Colliery - ICH Facility,ENDEAVOUR COAL PTY LIMITED,Carbon Credits (Carbon Farming Initiative-Electricity Generation from Landfill Gas) Methodology Determination 2021,Waste,"1,552"
APN01 Appin Colliery - ICH Facility,ENDEAVOUR COAL PTY LIMITED,Carbon Credits (Carbon Farming Initiative-Electricity Generation from Landfill Gas) Methodology Determination 2021 (Compilation No. 1),Waste,723
APN01 Appin Colliery - ICH Facility,ENDEAVOUR COAL PTY LIMITED,Carbon Credits (Carbon Farming Initiative-Landfill Gas) Methodology Determination 2015 (Compilation No. 1),Waste,877
APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),Vegetation,"6,032"
APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),Vegetation,"1,684"
APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),Vegetation,"1,046"
APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,Carbon Credits (Carbon Farming Initiative-Emissions Abatement through Savanna Fire Management) Methodology Determination 2015,Savanna Fire Management,808
APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,Carbon Credits (Carbon Farming Initiative-Landfill Gas) Methodology Determination 2015,Waste,"1,037"
Ashton Coal Mine (Underground),ASHTON COAL OPERATIONS PTY LIMITED,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),Vegetation,"193,065"
Ashton Coal Mine (Underground),ASHTON COAL OPERATIONS PTY LIMITED,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),Vegetation,"232,487"
Ashton Coal Mine (Underground),ASHTON COAL OPERATIONS PTY LIMITED,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),Vegetation,"63,119"
Aurizon National Transport Facility,AURIZON OPERATIONS LIMITED,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),Vegetation,"1,087"
Aurizon National Transport Facility,AURIZON OPERATIONS LIMITED,Carbon Credits (Carbon Farming Initiative) (Reduction of Greenhouse Gas Emissions through Early Dry Season Savanna Burning-1.1) Methodology Determination 2013,Savanna Fire Management,"10,000"
Aurizon National Transport Facility,AURIZON OPERATIONS LIMITED,Carbon Credits (Carbon Farming Initiative-Alternative Waste Treatment) Methodology Determination 2015,Waste,"5,531"
Aurizon National Transport Facility,AURIZON OPERATIONS LIMITED,Carbon Credits (Carbon Farming Initiative-Coal Mine Waste Gas) Methodology Determination 2015,Industrial Fugitives,"5,700"
Aurizon National Transport Facility,AURIZON OPERATIONS LIMITED,Carbon Credits (Carbon Farming Initiative-Emissions Abatement through Savanna Fire Management) Methodology Determination 2015,Savanna Fire Management,"45,177"
Aurizon National Transport Facility,AURIZON OPERATIONS LIMITED,Carbon Credits (Carbon Farming Initiative-Industrial Electricity and Fuel Efficiency) Methodology Determination 2015,Energy Efficiency,"16,959"
AusNet Gas Services Pty Ltd,AusNet Services Holdings Pty Ltd,Carbon Credits (Carbon Farming Initiative) (Reforestation by Environmental or Mallee Plantings-FullCAM) Methodology Determination 2014 (Compilation No. 2),Vegetation,"6,713"
Baralaba Coal Mine,BARALABA COAL COMPANY PTY LTD ,Carbon Credits (Carbon Farming Initiative-Avoided Clearing of Native Regrowth) Methodology Determination 2015 (Compilation No. 1),Vegetation,"4,945"
Baralaba Coal Mine,BARALABA COAL COMPANY PTY LTD ,Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015,Vegetation,"1,500"
Beharra Springs,BEACH ENERGY LIMITED,Carbon Credits (Carbon Farming Initiative-Landfill Gas) Methodology Determination 2015 (Compilation No. 1),Waste,"11,588"
Bengalla Operations,Bengalla Mining Company Pty Limited,Carbon Credits (Carbon Farming Initiative) (Avoided Deforestation) Methodology Determination 2013,Vegetation,"1,434"
Bengalla Operations,Bengalla Mining Company Pty Limited,Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015,Vegetation,"117,521"
Bengalla Operations,Bengalla Mining Company Pty Limited,Carbon Credits (Carbon Farming Initiative-Coal Mine Waste Gas) Methodology Determination 2015 (Compilation No. 3),Industrial Fugitives,"20,000"
Bengalla Operations,Bengalla Mining Company Pty Limited,Carbon Credits (Carbon Farming Initiative-Electricity Generation from Landfill Gas) Methodology Determination 2021 (Compilation No. 1),Waste,"23,848"
Bengalla Operations,Bengalla Mining Company Pty Limited,Carbon Credits (Carbon Farming Initiative-Landfill Gas) Methodology Determination 2015 (Compilation No. 1),Waste,"3,963"
Blackwater Coal Mine,WHITEHAVEN BLACKWATER PTY LTD,Carbon Credits (Carbon Farming Initiative) (Avoided Deforestation) Methodology Determination 2013,Vegetation,589
Blackwater Coal Mine,WHITEHAVEN BLACKWATER PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),Vegetation,"20,736"
Blackwater Coal Mine,WHITEHAVEN BLACKWATER PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),Vegetation,"13,279"
Blackwater Coal Mine,WHITEHAVEN BLACKWATER PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),Vegetation,"15,985"
Blackwater Coal Mine,WHITEHAVEN BLACKWATER PTY LTD,Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015,Vegetation,"38,033"
Blair Athol Operations,ORION MINING PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),Vegetation,531
Blair Athol Operations,ORION MINING PTY LTD,Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015,Vegetation,215
Blair Athol Operations,ORION MINING PTY LTD,Carbon Credits (Carbon Farming Initiative-Landfill Gas) Methodology Determination 2015,Waste,"1,185"
Boggabri Coal Minesite,BOGGABRI COAL PTY LIMITED,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),Vegetation,"5,485"
Boggabri Coal Minesite,BOGGABRI COAL PTY LIMITED,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),Vegetation,"1,469"
Boggabri Coal Minesite,BOGGABRI COAL PTY LIMITED,Carbon Credits (Carbon Farming Initiative) (Reduction of Greenhouse Gas Emissions through Early Dry Season Savanna Burning-1.1) Methodology Determination 2013,Savanna Fire Management,"6,940"
Boggabri Coal Minesite,BOGGABRI COAL PTY LIMITED,Carbon Credits (Carbon Farming Initiative-Coal Mine Waste Gas) Methodology Determination 2015 (Compilation No. 3),Industrial Fugitives,398
Boggabri Coal Minesite,BOGGABRI COAL PTY LIMITED,Carbon Credits (Carbon Farming Initiative-Landfill Gas) Methodology Determination 2015,Waste,"4,414"
Boyne Smelters Limited,RIO TINTO ALUMINIUM LIMITED,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),Vegetation,"2,499"
Boyne Smelters Limited,RIO TINTO ALUMINIUM LIMITED,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),Vegetation,"7,540"
Boyne Smelters Limited,RIO TINTO ALUMINIUM LIMITED,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),Vegetation,"3,121"
Brockman 2 / Nammuldi Mines,Hamersley Iron Pty. Limited,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),Vegetation,"76,855"
Brockman 2 / Nammuldi Mines,Hamersley Iron Pty. Limited,Carbon Credits (Carbon Farming Initiative-Emissions Abatement through Savanna Fire Management) Methodology Determination 2015,Savanna Fire Management,"75,671"
Brockman 4 Mine,Hamersley Iron Pty. Limited,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),Vegetation,"67,711"
Byerwen Mine,BYERWEN COAL PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),Vegetation,"45,848"
Byerwen Mine,BYERWEN COAL PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 2),Vegetation,"32,906"
Byerwen Mine,BYERWEN COAL PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 3),Vegetation,"13,810"
CAN01,South32 Cannington Proprietary Limited,Carbon Credits (Carbon Farming Initiative-Avoided Deforestation 1.1) Methodology Determination 2015,Vegetation,"16,482"
Carborough Downs Coal Mine,FITZROY (CQ) PTY LTD,Carbon Credits (Carbon Farming Initiative) (Human-Induced Regeneration of a Permanent Even-Aged Native Forest-1.1) Methodology Determination 2013 (Compilation No. 1),Vegetation,"16,062"
