Facility name,Responsible emitter,State/Territory of operation,ANZSIC,ERC,Baseline emissions number,Covered emissions,Borrowing adjustment amount,ACCUs issued,ACCUs deemed surrendered,ACCUs surrendered,SMCs surrendered,Net emissions number,Net position number,SMCs issued,Units relinquished,Cumulative MYMP net emissions number,Cumulative MYMP net position number,GHG Carbon dioxide,GHG Methane,GHG Nitrous oxide,GHG Other,Notes
2. Solid Waste Services - MRL,Cleanaway Waste Management Limited,VIC,"Waste treatment, disposal and remediation services (292)",0.902,"377,924","197,276", -   ,"180,171", -   , -   , -   ,"377,447",-477, -   , -   ,-,-,"21,592","175,580",104, -   ,The facility is covered by a landfill baseline.
Angaston Operations,ADBRI LIMITED,SA,"Cement, lime, plaster and concrete product manufacturing (203)",0.98,"100,000","91,255", -   , -   , -   , -   , -   ,"91,255","-8,745", -   , -   ,-,-,"91,167",60,28, -   ,The facility is an eligible facility under 58B.
APLNG Facility,CONOCOPHILLIPS AUSTRALIA OPERATIONS PTY LTD,QLD,Oil and gas extraction (070),0.902,"2,059,639","2,206,497", -   , -   , -   , -   ,"146,858","2,059,639", -   , -   , -   ,-,-,"2,169,926","34,530","1,969",72,-
APN01 Appin Colliery - ICH Facility,ENDEAVOUR COAL PTY LIMITED,NSW,Coal mining (060),0.902,"2,305,451","2,359,680", -   , -   , -   ," 4,468 "," 49,761 ","2,305,451", -   , -   , -   ,-,-,"113,734","2,245,885",21,40,-
APU01 Pyrenees - AOA Facility,WOODSIDE ENERGY GLOBAL PTY LTD,WA,Oil and gas extraction (070),0.902,"132,862","144,213", -   , -   , -   ,"10,607",745,"132,861",-1, -   , -   ,-,-,"138,092","5,931",190, -   ,-
ARC01 Mining Area C - MNG Facility,BHP IRON ORE PTY LTD,WA,Metal ore mining (080),0.902,"757,811","587,292", -   , -   , -   , -   , -   ,"587,292","-170,519", -   , -   ,-,-,"584,403",835,"1,888",166,-
Arcadia,Santos Limited,QLD,Oil and gas extraction (070),0.902,"144,203","134,510", -   , -   , -   , -   , -   ,"134,510","-9,693","9,693", -   ,-,-,"122,589","11,453",289,179,-
Arrow Surat Operations,Arrow Energy Holdings Pty Ltd,QLD,Oil and gas extraction (070),0.902,"185,665","179,006", -   , -   , -   , -   , -   ,"179,006","-6,659","6,659", -   ,-,-,"137,769","41,077",160, -   ,-
Ashton Coal Mine (Underground),ASHTON COAL OPERATIONS PTY LIMITED,NSW,Coal mining (060),0.902,"194,109","682,780", -   , -   , -   ," 488,671 ", -   ,"194,109", -   , -   , -   ,-,-,"15,563","667,189",23,5,"As the facility surrendered 30% or more of its baseline in ACCUs, the required written explanation as to why more carbon abatement did not occur at the facility can be found on the baselines and emissions data page."
Aurizon National Transport Facility,AURIZON OPERATIONS LIMITED,National,Rail freight transport (471),0.902,"574,103","658,557", -   , -   , -   ,"84,454", -   ,"574,103", -   , -   , -   ,-,-,"653,862",975,"3,720", -   ,-
