Project Proponent,Agent,"Significantly Involved Person(s), Description of involvement",Project Name,Project ID,Method,Method URL,Method Type,Estimation or measurement approach or model,Project Description,Project activities,"Project suppressors, if applicable",Date Project Registered,Crediting period start date,Crediting period end date,Project location,Project location (postcode),"Project Area(s), where the project is an area based offsets project",Project Mapping File URL,Carbon Estimation Area mapping file URL,Supplementary project information,Model start date(s),"If the area-based project is covered by a regional natural resource management plan, is it consistent with that plan?",Joint Implementation project,Is the project area or project areas subject to a Carbon Maintenance Obligation (CMO)?,Conditional upon all regulatory approvals being obtained,Conditional upon the written consent of relevant interest holders,"Nominated Permanence Period, if applicable","Start date of permanence period, if applicable","Finish date of permanence period, if applicable",Contracted on,Contract ID,ACCUs Total units issued,KACCUs Total units issued,KACCUs Units Issued in Financial Year 2012/13,KACCUs Units Issued in Financial Year 2013/14,KACCUs Units Issued in Financial Year 2014/15,KACCUs Units Issued in Financial Year 2015/16,KACCUs Units Issued in Financial Year 2016/17,KACCUs Units Issued in Financial Year 2017/18,KACCUs Units Issued in Financial Year 2018/19,KACCUs Units Issued in Financial Year 2019/20,KACCUs Units Issued in Financial Year 2020/21,KACCUs Units Issued in Financial Year 2021/22,KACCUs Units Issued in Financial Year 2022/23,KACCUs Units Issued in Financial Year 2023/24,KACCUs Units Issued in Financial Year 2024/25,KACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the KACCUs issued,Total Number of KACCUs units relinquished,NKACCUs Total units issued,NKACCUs Units Issued in Financial Year 2012/13,NKACCUs Units Issued in Financial Year 2013/14,NKACCUs Units Issued in Financial Year 2014/15,NKACCUs Units Issued in Financial Year 2015/16,NKACCUs Units Issued in Financial Year 2016/17,NKACCUs Units Issued in Financial Year 2017/18,NKACCUs Units Issued in Financial Year 2018/19,NKACCUs Units Issued in Financial Year 2019/20,NKACCUs Units Issued in Financial Year 2020/21,NKACCUs Units Issued in Financial Year 2021/22,NKACCUs Units Issued in Financial Year 2022/23,NKACCUs Units Issued in Financial Year 2023/24,NKACCUs Units Issued in Financial Year 2024/25,NKACCUs Units Issued in Financial Year 2025/26,Name of person/s to whom the NKACCUs issued,Total Number of NKACCUs units relinquished,Enforceable undertaking URLs related to this project,Enforceable undertakings related to this project,Notes,Project revoked
Graeme McDonald,CARBON LINK OPERATIONS PTY LTD,n/a,Moonbria Soil Carbon Project,ERF183550,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both",n/a,2/03/2026,2/03/2026,1/03/2051,Queensland,n/a,"12/MTL25, 3/MTL25, 4/RP899423, 7/MTL25
 
The project is in the Barcaldine, Blackall Tambo local government areas.",https://cer.gov.au/sites/default/files/projectFiles/ERF183550.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Graeme McDonald,CARBON LINK OPERATIONS PTY LTD,n/a,Avondale Soil Carbon Project,ERF183551,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both",n/a,2/03/2026,2/03/2026,1/03/2051,Queensland,n/a,"1/yn61, 10/WOO16, 2/YN61, 3/WOO4, 4/WOO4, 7/YN83, 96/OL3
 
The project is in the Blackall Tambo local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF183551.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Graeme McDonald,CARBON LINK OPERATIONS PTY LTD,n/a,Wildhorse Soil Carbon Project,ERF183552,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by altering the stocking rate, duration or intensity of grazing (or any combination of such activities) to promote soil vegetation cover or improve soil health, or both.","Altering the stocking rate, duration or intensity of grazing to promote soil vegetation cover or improve soil health, or both",n/a,2/03/2026,2/03/2026,1/03/2051,Queensland,4702,"3/SP100437
 
The project is in the Central Highlands (Qld) local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF183552.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
AGRIPROVE SOLUTIONS CO NO.2 PTY LTD,Agriprove Pty Ltd,n/a,Emerson Carbon Project,ERF200529,Carbon Credits (Carbon Farming Initiative-Estimation of Soil Organic Carbon Sequestration using Measurement and Models) Methodology Determination 2021,https://www.legislation.gov.au/Details/F2021L01696,Agriculture,n/a,"This project increases carbon in soil in the agricultural system by applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency, using legume species in cropping or pasture systems, using a cover crop to promote soil vegetation cover or improve soil health, or both and converting from intensive tillage practices to reduced or no tillage practices.","Applying nutrients to the land in the form of a synthetic or non-synthetic fertiliser to address a material deficiency; Converting from intensive tillage practices to reduced or no tillage practices; Using a cover crop to promote soil vegetation cover or improve soil health, or both; Using legume species in cropping or pasture systems",n/a,27/03/2026,27/03/2026,26/03/2051,Queensland,4670,"Lot 1/CP899707, Lot 126/RP817606, Lot 2/RP79524, Lot 2/SP330494, Lot 3/RP99660, Lot 6/RP22199, Lot 7/RP22199, Lot 8/SP330516, Lot2+3/RP129433
 
The project is in the Bundaberg local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF200529.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
Daniel Ronchi,n/a,n/a,Ronchi Plantation - Conversion to Long Rotation Saw Log,ERF206083,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by converting an existing short rotation plantation forest to a long rotation plantation forest for commercial harvesting of wood products,Conversion from a short-rotation to long-rotation plantation forest,n/a,12/03/2026,12/03/2026,11/03/2051,Victoria,3844,"Lot 1/CS202744P/9670/444
 
The project is in the Wellington local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF206083.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
LANDARI PTY LTD,n/a,n/a,Landari Nugent 2025,ERF206462,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by avoiding conversion of an existing or harvested plantation to non-forested land by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Avoided conversion of a plantation to non-forested land by continuing plantation,n/a,17/03/2026,17/03/2026,16/03/2051,Tasmania,7172,"135720/1, 135912/1, 51940/3
 
The project is in the Sorell local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF206462.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
PLANTARE CARBON PTY LTD,n/a,n/a,Plantare Carbon Project 1,ERF206795,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Establishment of a new plantation forest,n/a,16/03/2026,1/06/2026,31/05/2051,Western Australia,6421,"342/D203246/1462/642
 
The project is in the Westonia local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF206795.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
PLANTARE CARBON PTY LTD,n/a,n/a,Plantare Carbon Project 2,ERF206796,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,This project sequesters carbon by establishing and maintaining a new plantation forest for commercial harvesting of wood products.,Establishment of a new plantation forest,n/a,20/03/2026,2/05/2027,1/05/2052,Western Australia,6421,"342/D203246/1462/642, 344/D203246/1462/642
 
The project is in the Westonia local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF206796.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,No,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
THE HILLS SHIRE COUNCIL,Dimitrios Dimoliatis,n/a,The Hills Shire SSO Waste Diversion Project,ERF207021,Carbon Credits (Carbon Farming Initiative-Source Separated Organic Waste) Methodology Determination 2016,https://www.legislation.gov.au/Details/F2016L00098,Waste,n/a,"The project involves a new waste diversion activity where eligible waste is being separated at the point of generation from a single waste stream and being diverted from landfill and being transferred to facilities for treatment using open windrow composting, enclosed composting or anaerobic digestion and the transfer of biogas to a combustion device for destruction, or process engineered fuel manufacture as eligible waste treatment technologies.",Expansion waste diversion,n/a,19/03/2026,30/03/2026,29/03/2033,New South Wales,2153,n/a,n/a,n/a,n/a,n/a,n/a,No,n/a,No,No,n/a,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
LANDARI PTY LTD,n/a,n/a,Landari Dunalley 2025,ERF207268,Carbon Credits (Carbon Farming Initiative-Plantation Forestry) Methodology Determination 2022,https://www.legislation.gov.au/Details/F2022L00047,Vegetation,n/a,"This project sequesters carbon by transitioning a plantation forest to a permanent forest, in situations where that plantation is at risk of being converted to non-forested land.",Transitioning of existing plantation forest to a permanent planting,n/a,12/03/2026,12/03/2026,11/03/2051,Tasmania,7177,"155378/1
 
The project is in the Tasman local government area.",https://cer.gov.au/sites/default/files/projectFiles/ERF207268.kml,n/a,n/a,n/a,Yes,No,There is no carbon maintenance obligation on this project area,No,Yes,25,n/a,n/a,n/a,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,n/a,0,n/a,n/a,n/a,No
