Date of transaction,Entity name,Number of units,Unit type
03/05/2026,REGENCO PTY LTD,2,KACCU
30/04/2026,CARBON NEUTRAL PTY LTD,105,KACCU
30/04/2026,Tasman Environmental Markets Australia Pty Ltd,132,KACCU
30/04/2026,Tasman Environmental Markets Australia Pty Ltd,187,KACCU
30/04/2026,NORTHMORE GORDON ENVIRONMENTAL PTY LTD,182,KACCU
30/04/2026,Terra Carbon Pty Ltd,"2,078",CER
29/04/2026,REGENCO PTY LTD,42,KACCU
29/04/2026,CLIMA SOLUTIONS PTY LTD,"1,375",KACCU
29/04/2026,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
29/04/2026,Tasman Environmental Markets Australia Pty Ltd,500,KACCU
29/04/2026,Tasman Environmental Markets Australia Pty Ltd,142,KACCU
29/04/2026,Tasman Environmental Markets Australia Pty Ltd,22,CER
29/04/2026,Tasman Environmental Markets Australia Pty Ltd,22,CER
29/04/2026,Tasman Environmental Markets Australia Pty Ltd,12,CER
29/04/2026,"Climate Impact Partners, LLC","25,695",CER
29/04/2026,"Climate Impact Partners, LLC",104,CER
29/04/2026,"Climate Impact Partners, LLC",478,CER
29/04/2026,"Climate Impact Partners, LLC","11,861",CER
29/04/2026,"Climate Impact Partners, LLC","9,119",CER
29/04/2026,"Climate Impact Partners, LLC",137,CER
29/04/2026,"Climate Impact Partners, LLC",501,CER
29/04/2026,"Climate Impact Partners, LLC",13,CER
28/04/2026,Terra Carbon Pty Limited,300,KACCU
28/04/2026,ENERGYAUSTRALIA PTY LTD,369,KACCU
28/04/2026,ENERGYAUSTRALIA PTY LTD,"2,806",KACCU
28/04/2026,CO2 AUSTRALIA Pty Ltd,438,KACCU
28/04/2026,Tasman Environmental Markets Australia Pty Ltd,"9,043",KACCU
28/04/2026,Carbonhalo Pty Ltd,22,KACCU
24/04/2026,CARBON NEUTRAL PTY LTD,"1,426",KACCU
24/04/2026,Terra Carbon Pty Limited,"2,600",KACCU
24/04/2026,The Trust Company (Australia) Limited as the Trustee for Tasmanian Forest Operating Sub Trust,340,KACCU
24/04/2026,Boral Limited,333,KACCU
24/04/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,490,KACCU
24/04/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"1,378",KACCU
24/04/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"1,360",KACCU
24/04/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,420,KACCU
24/04/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,111,KACCU
24/04/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"1,742",KACCU
24/04/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,"1,235",KACCU
24/04/2026,SOUTH POLE AUSTRALIA FINANCIAL SERVICES PTY LTD,295,KACCU
24/04/2026,Tasman Environmental Markets Australia Pty Ltd,17,KACCU
24/04/2026,Tasman Environmental Markets Australia Pty Ltd,16,KACCU
24/04/2026,Tasman Environmental Markets Australia Pty Ltd,1,KACCU
23/04/2026,CARBON NEUTRAL PTY LTD,17,CER
22/04/2026,Climate Friendly Pty Ltd,1,KACCU
