Company Name,Revenue (AUD),Assets (AUD),Employees,FY,Confidence
Commonwealth Bank of Australia,26900000000,1290000000000,51800,FY24,High
Westpac Banking Corporation,21300000000,1080000000000,37700,FY24,High
National Australia Bank,20700000000,1067000000000,38500,FY24,High
ANZ Group Holdings,20300000000,1230000000000,42000,FY24,High
Bendigo and Adelaide Bank Limited,2000000000,100000000000,7000,FY24,High
Macquarie Group,16200000000,399000000000,20600,FY24,High
Suncorp Group,9500000000,68800000000,13000,FY24,High
Insurance Australia Group,16400000000,36000000000,13800,FY24,High
QBE Insurance Group,26000000000,42000000000,13700,FY24,High
Medibank Private,7900000000,4900000000,4000,FY24,High
nib holdings limited (nib Group),3300000000,2100000000,2000,FY24,Medium
Computershare Limited,3800000000,9500000000,12000,FY24,High
ASX Limited,1100000000,6500000000,850,FY24,Medium
BHP Group Limited,85800000000,160000000000,83000,FY24,High
Rio Tinto,82800000000,158000000000,57000,FY24,High
Fortescue Metals Group,18300000000,32000000000,17000,FY24,High
South32,9000000000,19000000000,13500,FY24,High
Newmont (Newcrest),26600000000,87000000000,16500,FY24,Medium
Northern Star Resources,5200000000,13000000000,4500,FY24,Medium
Mineral Resources,5300000000,13000000000,6500,FY24,High
Pilbara Minerals,1300000000,6500000000,1100,FY24,Medium
IGO Limited,850000000,5800000000,1100,FY24,Medium
Whitehaven Coal,2900000000,9500000000,2500,FY24,High
Yancoal Australia,9200000000,12000000000,3800,FY24,High
New Hope Corporation,1700000000,3300000000,1300,FY24,Medium
BlueScope Steel,17500000000,17000000000,16500,FY24,High
Orica,8100000000,8400000000,12700,FY24,High
Incitec Pivot,3800000000,4900000000,4500,FY24,High
James Hardie Industries,4000000000,4900000000,5400,FY24,High
Adbri,1850000000,2000000000,1700,FY24,Medium
Boral Limited,3500000000,3200000000,6000,FY24,High
Santos,5400000000,23000000000,3500,FY24,High
Origin Energy,16500000000,26000000000,5800,FY24,High
Beach Energy,1700000000,5300000000,630,FY24,Medium
