SBTi Company Name,Report Name,Reporting Period,URL,Notes
Bendigo and Adelaide Bank Limited,Sustainability Report,2025,https://www.bendigoadelaide.com.au/globalassets/documents/bendigoadelaide/investorcentre/results-and-reporting/sustainability-reports/2025-sustainability-report.pdf,
Coles Group Limited,Sustainability Report,2025,https://www.colesgroup.com.au/FormBuilder/_Resource/_module/ir5sKeTxxEOndzdh00hWJw/file/Sustainability_Report_2025.pdf,
Brambles,Sustainability Review,FY25,https://www.brambles.com/Content/cms/FY25-Results/pdf/Sustainability/Brambles-2025-Sustainability-Review.pdf,
Ansell Limited,Sustainability Report,2025,https://www.ansell.com/-/media/projects/ansell/website/pdf/investors-relations/annual-reports/2025/sustainability-report-2025.ashx,
Dexus,Annual Report,2025,https://www.dexus.com/content/dam/dexus/documents/investing/sustainability-reports/2025/2025%20Dexus%20Annual%20Report%201.pdf,
CSL Limited,Annual Report,2025,https://www.csl.com/-/media/shared/documents/annual-report/csl-annual-report-2025.pdf,
Goodman Group,Annual Report,2025,https://www.goodman.com/-/media/project/goodman/global/files/investor-centre/gmg-goodman-group/announcements/asx-announcements/2025/2-goodman-2025-annual-report.pdf,
Telstra Group Limited,Bigger Picture Sustainability Report,2025,https://www.telstra.com.au/content/dam/tcom/about-us/community-environment/pdf/2025-Bigger-Picture-Sustainability-Report-Remediated.pdf,
Mirvac Group,Annual Report,FY25,https://www.mirvac.com/-/media/project/mirvac/corporate/main-site/corporate-theme/images/investor-centre/asx/2025/fy25-reporting-suite/mgr-fy25-annual-report.pdf,
Woolworths Group Limited,Sustainability Report,2025,https://www.woolworthsgroup.com.au/content/dam/wwg/sustainability/reports/2025_WG_Sustainability_Report_Interactive_SPREADS.pdf,
Origin Energy,Sustainability Report,2025,https://www.originenergy.com.au/wp-content/uploads/45/Origin_2025_Sustainability_Report.pdf,
Stockland Corporation Limited and Stockland Trust,Annual Report,FY25,https://www.stockland.com.au/globalassets/corporate/investor-centre/fy25/fy25/stockland-annual-report-2025.pdf,
Transurban Group,Corporate Report,2025,https://www.transurban.com/content/dam/investor-centre/04/2025-Corporate-Report.pdf,
Ramsay Health Care Limited,Impact Report,2025,https://www.ramsayhealth.com/globalassets/global/investor-centre/investor-centre-pdfs/rhc_2025_impact_report.pdf,
Boral Limited,SGH Annual Report,2025,https://sghl.com.au/assets/Uploads/ASX-SGH-2025-Annual-Report-Final-12-August-2025.pdf,SGH is Boral's parent — emissions consolidated at SGH level
Lendlease,Sustainability landing,2025,https://www.lendlease.com/au/about/sustainability/,IR landing — discoverer to find latest report
Aristocrat Leisure Limited,Sustainability landing,2025,https://www.aristocrat.com/sustainability/,IR landing — discoverer to find latest report
Iress Limited,Sustainability landing,2025,https://www.iress.com/about-us/sustainability/,IR landing
TPG Telecom Limited,Sustainability landing,2025,https://www.tpgtelecom.com.au/about/sustainability,IR landing
Computershare Limited,Sustainability landing,2025,https://www.computershare.com/au/about-us/sustainability,IR landing
Domino's Pizza Enterprises Ltd,Sustainability landing,2025,https://investors.dominos.com.au/sustainability/,IR landing
EVT Limited,Sustainability landing,2025,https://www.evt.com/sustainability,IR landing
Ventia Services Group Limited,Sustainability landing,2025,https://www.ventia.com/page/sustainability,IR landing
GrainCorp Limited,Sustainability landing,2025,https://www.graincorp.com.au/sustainability,IR landing
SunRice (listed as RiceGrowers Limited),Sustainability landing,2025,https://www.sunrice.com.au/about/sustainability,IR landing
Xero,Sustainability landing,2025,https://www.xero.com/au/about/sustainability/,IR landing
MoneyMe Limited,Sustainability landing,2025,https://investors.moneyme.com.au/sustainability/,IR landing — verify
Pro-Pac Packaging Limited,Sustainability landing,2025,https://www.ppgaus.com.au/sustainability/,IR landing — verify
Investa Office Management Pty Limited,Sustainability landing,2025,https://www.investa.com.au/about-us/sustainability,IR landing
Adherium Ltd,Investor centre,2025,https://adherium.com/investor-centre/,Small cap — may not publish dedicated sustainability report
Fortescue Metals Group Ltd,Climate landing,2025,https://www.fortescue.com/en/our-impact/climate-and-environment,IR landing — Fortescue uses microsite; commitment removed but BD-relevant
