Company Name,Cohort,ASRS Tier,Sector,NGER Scope 1 (tCO2e),NGER Scope 2 (tCO2e),Priority
Appen Limited,ASX listed (SBTi),Tier 1 (proxy),Software and Services,,,100.0
ASX Limited,ASX listed (SBTi),Tier 1 (proxy),"Banks, Diverse Financials, Insurance",,,100.0
Australian Ethical Investment,ASX listed (SBTi),Tier 1 (proxy),"Banks, Diverse Financials, Insurance",,,100.0
Downer EDI Limited,ASX listed (SBTi),Tier 1 (proxy),Construction and Engineering,,,100.0
Flight Centre Travel Group,ASX listed (SBTi),Tier 1 (proxy),"Hotels, Restaurants and Leisure, and Tourism Services",,,100.0
Fortescue Metals Group Ltd,ASX listed (SBTi),Tier 1 (proxy),"Mining - Iron, Aluminum, Other Metals",,,100.0
Inghams Group Ltd,ASX listed (SBTi),Tier 1 (proxy),Food Production - Animal Source Food Production,,,100.0
Metrics Credit Partners,ASX listed (SBTi),Tier 1 (proxy),"Banks, Diverse Financials, Insurance",,,100.0
nib holdings limited (nib Group),ASX listed (SBTi),Tier 1 (proxy),"Banks, Diverse Financials, Insurance",,,100.0
Stockland Corporation Limited and Stockland Trust,ASX listed (SBTi),Tier 1 (proxy),Real Estate,,,100.0
Vicinity Centres,ASX listed (SBTi),Tier 1 (proxy),Real Estate,,,100.0
Accolade Wines,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Food and Beverage Processing,,,60.0
Airmaster Corporation PTY LTD,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Construction and Engineering,,,60.0
Alsco Uniforms,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),"Trading Companies and Distributors, and Commercial Services and Supplies",,,60.0
B2R Local No.1 Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Real Estate,,,60.0
BAI Communications Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Media,,,60.0
Baiada Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Food and Beverage Processing,,,60.0
BDO Group Holdings Limited,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Professional Services,,,60.0
Campus Living Villages,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Real Estate,,,60.0
Cement Australia Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Construction Materials,,,60.0
Compnow,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Technology Hardware and Equipment,,,60.0
Consolidated Property Services (Australia) Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),"Trading Companies and Distributors, and Commercial Services and Supplies",,,60.0
CYBERCX PTY LTD,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Professional Services,,,60.0
Erilyan Group Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Construction and Engineering,,,60.0
FDC Group Holdings Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Construction and Engineering,,,60.0
Fitness Passport,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),"Healthcare Providers and Services, and Healthcare Technology",,,60.0
Glad Group,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Real Estate,,,60.0
Grosvenor Engineering Group Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Construction and Engineering,,,60.0
Hall & Wilcox,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Professional Services,,,60.0
HSK Ward Group Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Food and Staples Retailing,,,60.0
Icon Construction,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Construction and Engineering,,,60.0
Intrepid Travel,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),"Hotels, Restaurants and Leisure, and Tourism Services",,,60.0
IPEC PTY LTD (TEAM GLOBAL EXPRESS),"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Ground Transportation - Trucking Transportation,,,60.0
Lander & Rogers,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Professional Services,,,60.0
Lyka Pet Food,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Food and Beverage Processing,,,60.0
MinterEllison Services Pty Limited,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Professional Services,,,60.0
MYOB,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Software and Services,,,60.0
Nando's Australia Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),"Hotels, Restaurants and Leisure, and Tourism Services",,,60.0
Northline Partnership,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Ground Transportation - Trucking Transportation,,,60.0
OCS Group Australia,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),"Trading Companies and Distributors, and Commercial Services and Supplies",,,60.0
Partners in Performance,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Professional Services,,,60.0
Quad Services Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),"Trading Companies and Distributors, and Commercial Services and Supplies",,,60.0
SECURECORP PTY LTD,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),"Trading Companies and Distributors, and Commercial Services and Supplies",,,60.0
SG Fleet,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Professional Services,,,60.0
SMEC ANZ,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Professional Services,,,60.0
Soho Flordis International Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),"Pharmaceuticals, Biotechnology and Life Sciences",,,60.0
South East Water,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Water Utilities,,,60.0
Teachers Mutual Bank,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),"Banks, Diverse Financials, Insurance",,,60.0
The Arnotts Group,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Food and Beverage Processing,,,60.0
Waste Services Group Pty Ltd,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Solid Waste Management Utilities,,,60.0
Yarra Valley Water,"Australian Corporate / FI (SBTi, private)",Tier 2 (proxy),Water Utilities,,,60.0
Woodside Energy Group Ltd,NGER reporters (not in cohort),Tier 1 (NGER proxy),NGER reporter (sector unclassified),8178233.0,5443.0,40.0
