Company Name,Cohort,Near-term Status,Sector,Target Year,Net-Zero Year,Target Classification (Long)
ASX Limited,ASX listed (SBTi),Commitment removed,"Banks, Diverse Financials, Insurance",2025,,Quantitative non-validated
Appen Limited,ASX listed (SBTi),Commitment removed,Software and Services,,,No public target
Downer EDI Limited,ASX listed (SBTi),Commitment removed,Construction and Engineering,2035,2050,Quantitative non-validated
Flight Centre Travel Group,ASX listed (SBTi),Commitment removed,"Hotels, Restaurants and Leisure, and Tourism Services",2028,,SBTi committed
Fortescue Metals Group Ltd,ASX listed (SBTi),Commitment removed,"Mining - Iron, Aluminum, Other Metals",2030,2040,Quantitative non-validated
Inghams Group Ltd,ASX listed (SBTi),Commitment removed,Food Production - Animal Source Food Production,2030,,Quantitative non-validated
Stockland Corporation Limited and Stockland Trust,ASX listed (SBTi),Commitment removed,Real Estate,2028,2050,Quantitative non-validated
Vicinity Centres,ASX listed (SBTi),Commitment removed,Real Estate,2030,2030,Quantitative non-validated
Australian Ethical Investment,ASX listed (SBTi),Committed,"Banks, Diverse Financials, Insurance",2040,2040,Net-zero only
Metrics Credit Partners,ASX listed (SBTi),Committed,"Banks, Diverse Financials, Insurance",2027,2050,SBTi committed
nib holdings limited (nib Group),ASX listed (SBTi),Committed,"Banks, Diverse Financials, Insurance",2030,,Quantitative non-validated
Adherium Ltd,ASX listed (SBTi),Targets set,"Healthcare Providers and Services, and Healthcare Technology",2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Ansell Limited,ASX listed (SBTi),Targets set,Healthcare Equipment and Supplies,FY2030,FY2045,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Aristocrat Leisure Limited,ASX listed (SBTi),Targets set,"Hotels, Restaurants and Leisure, and Tourism Services",FY2033,FY2050,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Bendigo and Adelaide Bank Limited,ASX listed (SBTi),Targets set,"Banks, Diverse Financials, Insurance",FY2025,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Boral Limited,ASX listed (SBTi),Targets set,Construction Materials,FY2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Brambles,ASX listed (SBTi),Targets set,Air Freight Transportation and Logistics,2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
CSL Limited,ASX listed (SBTi),Targets set,"Pharmaceuticals, Biotechnology and Life Sciences",FY2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Coles Group Limited,ASX listed (SBTi),Targets set,Food and Staples Retailing,FY2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Computershare Limited,ASX listed (SBTi),Targets set,"Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms",FY2033,FY2042,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Dexus,ASX listed (SBTi),Targets set,Real Estate,2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Domino's Pizza Enterprises Ltd,ASX listed (SBTi),Targets set,"Hotels, Restaurants and Leisure, and Tourism Services",FY2031,FY2050,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
EVT Limited,ASX listed (SBTi),Targets set,"Hotels, Restaurants and Leisure, and Tourism Services",FY2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Goodman Group,ASX listed (SBTi),Targets set,Real Estate,FY2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
GrainCorp Limited,ASX listed (SBTi),Targets set,Food Production - Agricultural Production,FY2034,FY2050,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Investa Office Management Pty Limited,ASX listed (SBTi),Targets set,Real Estate,2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Iress Limited,ASX listed (SBTi),Targets set,Software and Services,2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Lendlease,ASX listed (SBTi),Targets set,Real Estate,FY2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Mirvac Group,ASX listed (SBTi),Targets set,Real Estate,FY2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
MoneyMe Limited,ASX listed (SBTi),Targets set,"Specialized Financial Services, Consumer Finance, Insurance Brokerage Firms",2030,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Origin Energy,ASX listed (SBTi),Targets set,"Electric Utilities and Independent Power Producers and Energy Traders (including Fossil, Alternative and Nuclear Energy)",2032,,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to Well-below 2°C
Pro-Pac Packaging Limited,ASX listed (SBTi),Targets set,Containers and Packaging,FY2034,FY2050,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
Ramsay Health Care Limited,ASX listed (SBTi),Targets set,"Healthcare Providers and Services, and Healthcare Technology",FY2030,FY2040,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
SunRice (listed as RiceGrowers Limited),ASX listed (SBTi),Targets set,Food and Beverage Processing,FY2033,FY2050,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
TPG Telecom Limited,ASX listed (SBTi),Targets set,Telecommunication Services,2030,2050,The targets covering greenhouse gas emissions from company operations (scopes 1 and 2) are consistent with reductions required to keep warming to 1.5°C
